P	POP	n
51.066961	BancMagaud_1	6
52.61221486	BancMagaud_1	6
46.799117	BancMagaud_1	6
51.066961	BancMagaud_1	6
48.2462595	BancMagaud_1	6
47.14250675	BancMagaud_1	6
45.18027962	BancMagaud_1	6
51.87637969	BancMagaud_1	6
53.61785627	BancMagaud_1	6
48.46701006	BancMagaud_1	6
54.4518028	BancMagaud_1	6
52.34240863	BancMagaud_1	6
54.20652441	BancMagaud_1	6
53.93671818	BancMagaud_1	6
51.36129507	BancMagaud_1	6
48.4915379	BancMagaud_1	6
54.20652441	BancMagaud_1	6
53.56880059	BancMagaud_1	6
49.76698553	BancMagaud_1	6
53.78955114	BancMagaud_1	6
48.68776061	BancMagaud_1	6
52.68579838	BancMagaud_1	6
54.08388521	BancMagaud_1	6
51.87637969	BancMagaud_1	6
52.93107677	BancMagaud_1	6
53.93671818	BancMagaud_1	6
47.51042433	BancMagaud_1	6
53.59332843	BancMagaud_1	6
51.7537405	BancMagaud_1	6
46.84817268	BancMagaud_1	6
51.23865587	BancMagaud_1	6
53.96124601	BancMagaud_1	6
52.68579838	BancMagaud_1	6
53.71596762	BancMagaud_1	6
48.02550895	BancMagaud_1	6
48.68776061	BancMagaud_1	6
57.07628158	BancMagaud_1	8
56.90458671	BancMagaud_1	8
50.28207015	BancMagaud_1	8
56.92911455	BancMagaud_1	8
57.07628158	BancMagaud_1	8
55.13858229	BancMagaud_1	8
56.92911455	BancMagaud_1	8
56.41402992	BancMagaud_1	8
56.24233505	BancMagaud_1	8
51.77826833	BancMagaud_1	8
55.92347314	BancMagaud_1	8
57.0272259	BancMagaud_1	8
55.82536179	BancMagaud_1	8
56.70836399	BancMagaud_1	8
56.04611234	BancMagaud_1	8
51.68015698	BancMagaud_1	8
57.49325484	BancMagaud_1	8
55.92347314	BancMagaud_1	8
57.44419917	BancMagaud_1	8
56.92911455	BancMagaud_1	8
51.68015698	BancMagaud_1	8
57.46872701	BancMagaud_1	8
57.1498651	BancMagaud_1	8
51.68015698	BancMagaud_1	8
57.68947756	BancMagaud_1	8
57.46872701	BancMagaud_1	8
56.90458671	BancMagaud_1	8
57.49325484	BancMagaud_1	8
52.09713024	BancMagaud_1	8
54.67255335	BancMagaud_1	8
57.07628158	BancMagaud_1	8
56.34044641	BancMagaud_1	8
56.04611234	BancMagaud_1	8
52.61221486	BancMagaud_1	8
55.13858229	BancMagaud_1	8
52.09713024	BancMagaud_1	8
57.44419917	BancMagaud_1	8
56.83100319	BancMagaud_1	8
51.77826833	BancMagaud_1	8
55.43291636	BancMagaud_1	8
55.13858229	BancMagaud_1	8
56.4630856	BancMagaud_1	8
50.28207015	BancMagaud_1	8
57.49325484	BancMagaud_1	8
55.43291636	BancMagaud_1	8
55.82536179	BancMagaud_1	8
57.07628158	BancMagaud_1	8
57.07628158	BancMagaud_1	8
51.5084621	BancMagaud_1	8
56.34044641	BancMagaud_1	8
56.4630856	BancMagaud_1	8
51.7537405	BancMagaud_1	8
57.07628158	BancMagaud_1	8
